DATE,WSBASE
1984-01-04,195.928
1984-01-11,194.796
1984-01-18,192.710
1984-01-25,190.288
1984-02-01,188.770
1984-02-08,187.043
1984-02-15,187.353
1984-02-22,186.808
1984-02-29,186.721
1984-03-07,188.039
1984-03-14,190.927
1984-03-21,188.641
1984-03-28,189.136
1984-04-04,190.508
1984-04-11,192.577
1984-04-18,192.298
1984-04-25,193.544
1984-05-02,190.545
1984-05-09,194.387
1984-05-16,196.027
1984-05-23,195.748
1984-05-30,193.488
1984-06-06,194.194
1984-06-13,195.993
1984-06-20,196.739
1984-06-27,196.922
1984-07-04,196.007
1984-07-11,198.991
1984-07-18,199.071
1984-07-25,197.053
1984-08-01,195.928
1984-08-08,197.298
1984-08-15,197.873
1984-08-22,196.440
1984-08-29,195.586
1984-09-05,198.776
1984-09-12,198.815
1984-09-19,197.691
1984-09-26,197.033
1984-10-03,198.091
1984-10-10,198.345
1984-10-17,198.807
1984-10-24,196.817
1984-10-31,197.185
1984-11-07,200.533
1984-11-14,200.972
1984-11-21,201.257
1984-11-28,202.298
1984-12-05,202.811
1984-12-12,204.856
1984-12-19,203.712
1984-12-26,204.942
1985-01-02,209.777
1985-01-09,207.823
1985-01-16,204.976
1985-01-23,200.790
1985-01-30,199.656
1985-02-06,199.896
1985-02-13,199.668
1985-02-20,200.762
1985-02-27,201.080
1985-03-06,203.920
1985-03-13,202.594
1985-03-20,202.541
1985-03-27,201.664
1985-04-03,205.149
1985-04-10,205.123
1985-04-17,207.769
1985-04-24,204.955
1985-05-01,203.349
1985-05-08,207.678
1985-05-15,205.744
1985-05-22,207.377
1985-05-29,207.375
1985-06-05,209.690
1985-06-12,211.707
1985-06-19,210.619
1985-06-26,209.255
1985-07-03,211.920
1985-07-10,213.226
1985-07-17,215.286
1985-07-24,212.185
1985-07-31,210.682
1985-08-07,212.570
1985-08-14,213.656
1985-08-21,211.941
1985-08-28,212.726
1985-09-04,215.709
1985-09-11,214.847
1985-09-18,214.609
1985-09-25,214.897
1985-10-02,215.027
1985-10-09,215.499
1985-10-16,216.006
1985-10-23,217.266
1985-10-30,215.888
1985-11-06,217.008
1985-11-13,220.310
1985-11-20,218.545
1985-11-27,221.375
1985-12-04,221.985
1985-12-11,223.961
1985-12-18,224.515
1985-12-25,226.324
1986-01-01,226.935
1986-01-08,225.928
1986-01-15,225.385
1986-01-22,220.375
1986-01-29,216.157
1986-02-05,216.669
1986-02-12,216.571
1986-02-19,219.579
1986-02-26,217.394
1986-03-05,220.160
1986-03-12,221.761
1986-03-19,221.552
1986-03-26,220.687
1986-04-02,224.333
1986-04-09,223.658
1986-04-16,224.408
1986-04-23,227.487
1986-04-30,223.327
1986-05-07,226.704
1986-05-14,226.066
1986-05-21,226.067
1986-05-28,226.480
1986-06-04,229.535
1986-06-11,229.771
1986-06-18,231.812
1986-06-25,229.324
1986-07-02,230.614
1986-07-09,234.305
1986-07-16,235.101
1986-07-23,231.407
1986-07-30,231.702
1986-08-06,233.070
1986-08-13,233.149
1986-08-20,232.170
1986-08-27,233.238
1986-09-03,235.585
1986-09-10,235.764
1986-09-17,235.059
1986-09-24,235.440
1986-10-01,234.577
1986-10-08,235.443
1986-10-15,237.038
1986-10-22,238.638
1986-10-29,236.659
1986-11-05,239.133
1986-11-12,241.048
1986-11-19,243.073
1986-11-26,242.735
1986-12-03,244.793
1986-12-10,246.980
1986-12-17,246.954
1986-12-24,249.886
1986-12-31,253.598
1987-01-07,251.440
1987-01-14,250.881
1987-01-21,244.427
1987-01-28,243.425
1987-02-04,240.830
1987-02-11,243.115
1987-02-18,244.124
1987-02-25,241.071
1987-03-04,243.340
1987-03-11,245.005
1987-03-18,244.296
1987-03-25,244.421
1987-04-01,245.721
1987-04-08,247.323
1987-04-15,249.367
1987-04-22,252.829
1987-04-29,246.025
1987-05-06,253.638
1987-05-13,249.939
1987-05-20,250.480
1987-05-27,250.698
1987-06-03,252.331
1987-06-10,254.154
1987-06-17,253.814
1987-06-24,252.105
1987-07-01,251.895
1987-07-08,258.050
1987-07-15,254.392
1987-07-22,253.795
1987-07-29,252.780
1987-08-05,254.340
1987-08-12,254.846
1987-08-19,253.972
1987-08-26,254.116
1987-09-02,254.357
1987-09-09,256.993
1987-09-16,258.178
1987-09-23,255.641
1987-09-30,253.270
1987-10-07,258.512
1987-10-14,259.335
1987-10-21,255.950
1987-10-28,260.316
1987-11-04,259.681
1987-11-11,261.236
1987-11-18,263.583
1987-11-25,261.686
1987-12-02,265.284
1987-12-09,266.589
1987-12-16,266.15
1987-12-23,266.387
1987-12-30,269.362
1988-01-06,271.554
1988-01-13,269.075
1988-01-20,267.585
1988-01-27,261.441
1988-02-03,260.512
1988-02-10,259.277
1988-02-17,261.429
1988-02-24,260.451
1988-03-02,262.534
1988-03-09,261.553
1988-03-16,263.537
1988-03-23,263.035
1988-03-30,263.993
1988-04-06,266.983
1988-04-13,269.990
1988-04-20,270.109
1988-04-27,268.961
1988-05-04,268.139
1988-05-11,266.665
1988-05-18,271.258
1988-05-25,267.302
1988-06-01,270.605
1988-06-08,274.769
1988-06-15,273.566
1988-06-22,272.786
1988-06-29,272.083
1988-07-06,276.589
1988-07-13,278.227
1988-07-20,275.499
1988-07-27,273.922
1988-08-03,275.596
1988-08-10,274.901
1988-08-17,275.611
1988-08-24,273.256
1988-08-31,274.234
1988-09-07,276.010
1988-09-14,277.076
1988-09-21,275.411
1988-09-28,273.027
1988-10-05,274.725
1988-10-12,276.472
1988-10-19,276.324
1988-10-26,275.095
1988-11-02,275.283
1988-11-09,279.135
1988-11-16,280.417
1988-11-23,278.808
1988-11-30,279.876
1988-12-07,283.323
1988-12-14,283.507
1988-12-21,283.105
1988-12-28,285.746
1989-01-04,287.521
1989-01-11,287.702
1989-01-18,284.517
1989-01-25,277.493
1989-02-01,274.774
1989-02-08,273.461
1989-02-15,275.927
1989-02-22,274.412
1989-03-01,275.808
1989-03-08,278.807
1989-03-15,279.373
1989-03-22,278.794
1989-03-29,279.187
1989-04-05,279.978
1989-04-12,282.780
1989-04-19,282.868
1989-04-26,281.699
1989-05-03,281.434
1989-05-10,282.610
1989-05-17,280.001
1989-05-24,279.466
1989-05-31,280.403
1989-06-07,285.085
1989-06-14,284.042
1989-06-21,282.559
1989-06-28,282.326
1989-07-05,285.762
1989-07-12,289.429
1989-07-19,285.046
1989-07-26,284.514
1989-08-02,283.788
1989-08-09,284.256
1989-08-16,284.482
1989-08-23,283.321
1989-08-30,283.132
1989-09-06,284.348
1989-09-13,285.798
1989-09-20,285.724
1989-09-27,281.096
1989-10-04,283.373
1989-10-11,285.149
1989-10-18,285.263
1989-10-25,283.091
1989-11-01,284.104
1989-11-08,287.329
1989-11-15,286.932
1989-11-22,287.041
1989-11-29,289.467
1989-12-06,291.008
1989-12-13,293.026
1989-12-20,293.442
1989-12-27,296.354
1990-01-03,298.916
1990-01-10,298.269
1990-01-17,294.430
1990-01-24,291.307
1990-01-31,284.589
1990-02-07,286.280
1990-02-14,286.491
1990-02-21,288.659
1990-02-28,288.553
1990-03-07,291.999
1990-03-14,292.849
1990-03-21,292.700
1990-03-28,291.591
1990-04-04,294.715
1990-04-11,297.863
1990-04-18,299.732
1990-04-25,297.626
1990-05-02,296.771
1990-05-09,297.235
1990-05-16,298.033
1990-05-23,295.226
1990-05-30,297.562
1990-06-06,300.249
1990-06-13,303.907
1990-06-20,300.739
1990-06-27,301.363
1990-07-04,303.418
1990-07-11,306.149
1990-07-18,303.753
1990-07-25,303.207
1990-08-01,301.591
1990-08-08,304.929
1990-08-15,304.543
1990-08-22,305.966
1990-08-29,304.784
1990-09-05,307.955
1990-09-12,310.941
1990-09-19,308.652
1990-09-26,306.554
1990-10-03,306.640
1990-10-10,311.236
1990-10-17,308.687
1990-10-24,308.603
1990-10-31,307.534
1990-11-07,311.820
1990-11-14,313.148
1990-11-21,313.806
1990-11-28,314.786
1990-12-05,317.133
1990-12-12,315.920
1990-12-19,312.511
1990-12-26,315.910
1991-01-02,321.752
1991-01-09,308.664
1991-01-16,310.422
1991-01-23,307.469
1991-01-30,304.062
1991-02-06,305.181
1991-02-13,305.499
1991-02-20,308.858
1991-02-27,306.073
1991-03-06,310.207
1991-03-13,311.488
1991-03-20,312.348
1991-03-27,309.561
1991-04-03,313.001
1991-04-10,316.150
1991-04-17,315.019
1991-04-24,312.482
1991-05-01,313.628
1991-05-08,313.237
1991-05-15,315.426
1991-05-22,312.753
1991-05-29,314.923
1991-06-05,318.024
1991-06-12,317.998
1991-06-19,316.583
1991-06-26,318.016
1991-07-03,318.647
1991-07-10,322.739
1991-07-17,320.174
1991-07-24,319.429
1991-07-31,317.892
1991-08-07,320.379
1991-08-14,320.077
1991-08-21,319.771
1991-08-28,319.257
1991-09-04,322.180
1991-09-11,323.188
1991-09-18,323.724
1991-09-25,318.461
1991-10-02,319.630
1991-10-09,321.370
1991-10-16,323.800
1991-10-23,321.362
1991-10-30,323.475
1991-11-06,325.090
1991-11-13,329.091
1991-11-20,326.709
1991-11-27,327.962
1991-12-04,331.945
1991-12-11,335.139
1991-12-18,332.912
1991-12-25,337.317
1992-01-01,339.311
1992-01-08,338.436
1992-01-15,333.869
1992-01-22,332.731
1992-01-29,327.112
1992-02-05,327.511
1992-02-12,329.429
1992-02-19,333.811
1992-02-26,331.896
1992-03-04,332.793
1992-03-11,336.130
1992-03-18,337.284
1992-03-25,334.076
1992-04-01,336.428
1992-04-08,332.074
1992-04-15,333.837
1992-04-22,332.965
1992-04-29,332.616
1992-05-06,333.238
1992-05-13,335.276
1992-05-20,332.725
1992-05-27,335.244
1992-06-03,335.618
1992-06-10,337.679
1992-06-17,336.160
1992-06-24,337.430
1992-07-01,336.080
1992-07-08,340.221
1992-07-15,340.570
1992-07-22,341.660
1992-07-29,339.394
1992-08-05,342.246
1992-08-12,341.951
1992-08-19,344.800
1992-08-26,340.652
1992-09-02,344.451
1992-09-09,347.156
1992-09-16,350.471
1992-09-23,344.351
1992-09-30,346.912
1992-10-07,347.226
1992-10-14,351.692
1992-10-21,349.869
1992-10-28,348.689
1992-11-04,351.573
1992-11-11,355.198
1992-11-18,356.213
1992-11-25,357.506
1992-12-02,358.101
1992-12-09,358.109
1992-12-16,360.346
1992-12-23,361.986
1992-12-30,366.942
1993-01-06,367.301
1993-01-13,361.960
1993-01-20,361.226
1993-01-27,354.749
1993-02-03,355.309
1993-02-10,357.572
1993-02-17,360.806
1993-02-24,359.179
1993-03-03,362.243
1993-03-10,361.215
1993-03-17,362.666
1993-03-24,362.175
1993-03-31,364.711
1993-04-07,365.904
1993-04-14,370.036
1993-04-21,369.329
1993-04-28,369.739
1993-05-05,367.861
1993-05-12,368.946
1993-05-19,369.373
1993-05-26,373.223
1993-06-02,371.903
1993-06-09,377.681
1993-06-16,375.317
1993-06-23,375.361
1993-06-30,375.337
1993-07-07,379.525
1993-07-14,379.648
1993-07-21,381.910
1993-07-28,376.257
1993-08-04,378.565
1993-08-11,381.208
1993-08-18,382.006
1993-08-25,379.497
1993-09-01,382.516
1993-09-08,384.800
1993-09-15,386.265
1993-09-22,380.219
1993-09-29,386.994
1993-10-06,385.678
1993-10-13,388.019
1993-10-20,388.658
1993-10-27,388.581
1993-11-03,386.701
1993-11-10,390.427
1993-11-17,391.331
1993-11-24,394.917
1993-12-01,393.523
1993-12-08,396.143
1993-12-15,395.998
1993-12-22,399.466
1993-12-29,403.465
1994-01-05,402.133
1994-01-12,399.410
1994-01-19,398.663
1994-01-26,392.855
1994-02-02,394.662
1994-02-09,396.213
1994-02-16,397.245
1994-02-23,397.245
1994-03-02,402.063
1994-03-09,399.296
1994-03-16,400.580
1994-03-23,400.814
1994-03-30,401.565
1994-04-06,406.057
1994-04-13,406.681
1994-04-20,408.197
1994-04-27,406.988
1994-05-04,404.474
1994-05-11,406.338
1994-05-18,406.466
1994-05-25,407.423
1994-06-01,409.480
1994-06-08,411.592
1994-06-15,410.579
1994-06-22,411.311
1994-06-29,409.816
1994-07-06,417.174
1994-07-13,417.397
1994-07-20,416.227
1994-07-27,411.642
1994-08-03,414.889
1994-08-10,416.912
1994-08-17,414.754
1994-08-24,414.782
1994-08-31,415.023
1994-09-07,418.319
1994-09-14,418.492
1994-09-21,415.411
1994-09-28,415.173
1994-10-05,416.026
1994-10-12,419.764
1994-10-19,418.894
1994-10-26,419.036
1994-11-02,419.030
1994-11-09,419.380
1994-11-16,423.687
1994-11-23,424.859
1994-11-30,424.528
1994-12-07,425.847
1994-12-14,425.441
1994-12-21,427.873
1994-12-28,431.692
1995-01-04,433.505
1995-01-11,429.360
1995-01-18,428.354
1995-01-25,421.850
1995-02-01,419.859
1995-02-08,420.784
1995-02-15,422.759
1995-02-22,423.722
1995-03-01,424.435
1995-03-08,425.377
1995-03-15,427.689
1995-03-22,426.665
1995-03-29,430.109
1995-04-05,430.921
1995-04-12,431.434
1995-04-19,434.399
1995-04-26,436.576
1995-05-03,431.723
1995-05-10,434.575
1995-05-17,433.614
1995-05-24,434.111
1995-05-31,434.787
1995-06-07,435.512
1995-06-14,434.919
1995-06-21,434.873
1995-06-28,432.854
1995-07-05,436.324
1995-07-12,438.723
1995-07-19,437.155
1995-07-26,433.017
1995-08-02,434.877
1995-08-09,436.018
1995-08-16,436.617
1995-08-23,434.610
1995-08-30,434.983
1995-09-06,437.030
1995-09-13,438.857
1995-09-20,435.486
1995-09-27,434.420
1995-10-04,434.697
1995-10-11,437.319
1995-10-18,438.082
1995-10-25,436.237
1995-11-01,435.214
1995-11-08,436.128
1995-11-15,437.921
1995-11-22,440.249
1995-11-29,441.812
1995-12-06,442.606
1995-12-13,441.499
1995-12-20,444.542
1995-12-27,448.229
1996-01-03,453.700
1996-01-10,448.208
1996-01-17,442.622
1996-01-24,436.897
1996-01-31,434.388
1996-02-07,434.194
1996-02-14,433.985
1996-02-21,435.516
1996-02-28,438.459
1996-03-06,438.309
1996-03-13,440.444
1996-03-20,439.727
1996-03-27,441.319
1996-04-03,441.717
1996-04-10,444.007
1996-04-17,444.192
1996-04-24,445.366
1996-05-01,438.060
1996-05-08,443.027
1996-05-15,441.443
1996-05-22,443.664
1996-05-29,443.061
1996-06-05,447.775
1996-06-12,443.441
1996-06-19,448.450
1996-06-26,445.140
1996-07-03,450.205
1996-07-10,452.004
1996-07-17,451.478
1996-07-24,445.828
1996-07-31,450.405
1996-08-07,450.997
1996-08-14,449.950
1996-08-21,450.248
1996-08-28,450.627
1996-09-04,453.517
1996-09-11,454.179
1996-09-18,450.855
1996-09-25,450.450
1996-10-02,449.785
1996-10-09,450.833
1996-10-16,453.895
1996-10-23,452.996
1996-10-30,450.512
1996-11-06,453.848
1996-11-13,455.618
1996-11-20,457.511
1996-11-27,456.322
1996-12-04,463.781
1996-12-11,460.481
1996-12-18,463.574
1996-12-25,466.214
1997-01-01,471.856
1997-01-08,467.816
1997-01-15,464.572
1997-01-22,458.108
1997-01-29,458.518
1997-02-05,457.314
1997-02-12,458.405
1997-02-19,459.899
1997-02-26,461.913
1997-03-05,460.520
1997-03-12,462.242
1997-03-19,460.643
1997-03-26,462.926
1997-04-02,462.859
1997-04-09,466.936
1997-04-16,464.784
1997-04-23,466.805
1997-04-30,462.829
1997-05-07,466.623
1997-05-14,465.006
1997-05-21,466.675
1997-05-28,467.238
1997-06-04,471.515
1997-06-11,466.969
1997-06-18,470.067
1997-06-25,467.812
1997-07-02,473.142
1997-07-09,475.441
1997-07-16,475.085
1997-07-23,470.562
1997-07-30,471.640
1997-08-06,472.283
1997-08-13,474.306
1997-08-20,473.804
1997-08-27,474.681
1997-09-03,477.454
1997-09-10,477.168
1997-09-17,473.682
1997-09-24,474.772
1997-10-01,475.253
1997-10-08,474.721
1997-10-15,477.942
1997-10-22,478.603
1997-10-29,476.572
1997-11-05,481.286
1997-11-12,482.718
1997-11-19,484.484
1997-11-26,484.371
1997-12-03,491.664
1997-12-10,488.994
1997-12-17,489.176
1997-12-24,495.374
1997-12-31,500.259
1998-01-07,500.773
1998-01-14,491.942
1998-01-21,486.268
1998-01-28,487.425
1998-02-04,486.498
1998-02-11,485.115
1998-02-18,488.574
1998-02-25,490.705
1998-03-04,489.753
1998-03-11,491.331
1998-03-18,490.990
1998-03-25,490.361
1998-04-01,492.435
1998-04-08,491.775
1998-04-15,494.348
1998-04-22,497.040
1998-04-29,492.287
1998-05-06,493.700
1998-05-13,491.536
1998-05-20,497.287
1998-05-27,495.493
1998-06-03,499.753
1998-06-10,496.029
1998-06-17,498.956
1998-06-24,496.171
1998-07-01,501.353
1998-07-08,502.099
1998-07-15,504.919
1998-07-22,500.408
1998-07-29,502.425
1998-08-05,504.107
1998-08-12,505.808
1998-08-19,503.012
1998-08-26,504.525
1998-09-02,506.832
1998-09-09,509.195
1998-09-16,509.506
1998-09-23,507.360
1998-09-30,509.302
1998-10-07,510.543
1998-10-14,511.511
1998-10-21,513.882
1998-10-28,511.248
1998-11-04,516.437
1998-11-11,515.305
1998-11-18,518.892
1998-11-25,517.827
1998-12-02,525.083
1998-12-09,520.309
1998-12-16,525.555
1998-12-23,527.566
1998-12-30,532.612
1999-01-06,538.225
1999-01-13,524.178
1999-01-20,527.913
1999-01-27,523.260
1999-02-03,522.024
1999-02-10,525.643
1999-02-17,526.326
1999-02-24,527.916
1999-03-03,528.556
1999-03-10,530.536
1999-03-17,529.433
1999-03-24,531.195
1999-03-31,532.606
1999-04-07,533.441
1999-04-14,535.020
1999-04-21,534.814
1999-04-28,533.958
1999-05-05,540.708
1999-05-12,537.362
1999-05-19,541.745
1999-05-26,538.361
1999-06-02,547.776
1999-06-09,542.968
1999-06-16,545.001
1999-06-23,540.276
1999-06-30,547.559
1999-07-07,548.094
1999-07-14,550.059
1999-07-21,546.652
1999-07-28,549.486
1999-08-04,550.005
1999-08-11,550.360
1999-08-18,550.975
1999-08-25,550.515
1999-09-01,552.723
1999-09-08,556.907
1999-09-15,556.776
1999-09-22,557.351
1999-09-29,556.517
1999-10-06,560.639
1999-10-13,562.935
1999-10-20,565.942
1999-10-27,565.438
1999-11-03,572.822
1999-11-10,574.530
1999-11-17,584.001
1999-11-24,584.531
1999-12-01,595.579
1999-12-08,597.010
1999-12-15,605.682
1999-12-22,614.366
1999-12-29,632.846
2000-01-05,642.543
2000-01-12,611.066
2000-01-19,592.901
2000-01-26,584.983
2000-02-02,578.871
2000-02-09,577.201
2000-02-16,578.903
2000-02-23,578.206
2000-03-01,578.322
2000-03-08,576.053
2000-03-15,576.271
2000-03-22,577.258
2000-03-29,575.569
2000-04-05,579.912
2000-04-12,578.175
2000-04-19,579.188
2000-04-26,577.159
2000-05-03,580.538
2000-05-10,578.752
2000-05-17,580.986
2000-05-24,577.585
2000-05-31,585.464
2000-06-07,582.654
2000-06-14,582.274
2000-06-21,580.406
2000-06-28,581.913
2000-07-05,588.012
2000-07-12,584.858
2000-07-19,582.936
2000-07-26,583.197
2000-08-02,583.545
2000-08-09,583.125
2000-08-16,582.943
2000-08-23,583.132
2000-08-30,581.553
2000-09-06,587.410
2000-09-13,584.861
2000-09-20,583.157
2000-09-27,580.481
2000-10-04,585.445
2000-10-11,585.647
2000-10-18,585.970
2000-10-25,582.516
2000-11-01,586.831
2000-11-08,584.377
2000-11-15,589.489
2000-11-22,589.951
2000-11-29,595.545
2000-12-06,593.113
2000-12-13,593.663
2000-12-20,595.605
2000-12-27,605.347
2001-01-03,610.571
2001-01-10,599.541
2001-01-17,597.001
2001-01-24,596.263
2001-01-31,590.611
2001-02-07,593.292
2001-02-14,593.423
2001-02-21,598.364
2001-02-28,596.282
2001-03-07,598.878
2001-03-14,596.217
2001-03-21,600.583
2001-03-28,597.725
2001-04-04,602.206
2001-04-11,600.471
2001-04-18,602.764
2001-04-25,599.181
2001-05-02,606.168
2001-05-09,601.856
2001-05-16,606.224
2001-05-23,604.122
2001-05-30,612.087
2001-06-06,610.078
2001-06-13,606.937
2001-06-20,609.487
2001-06-27,607.039
2001-07-04,615.492
2001-07-11,613.974
2001-07-18,614.313
2001-07-25,617.820
2001-08-01,618.454
2001-08-08,619.833
2001-08-15,620.576
2001-08-22,622.544
